id;close_price_1;close_price_2;i_0;avg;sd;z;signal;buy_price;sell_price;mtm;status
1;;;;;;;;;;;
2;3254,1;1636,6;0,6873;;;;;;;;
3;3253,9;1636,4;0,6874;;;;;;;;
4;3254,3;1636,6;0,6874;;;;;;;;
5;3254,3;1636,5;0,6874;;;;;;;;
6;3254,6;1636,7;0,6874;;;;;;;;
7;3254,3;1636,7;0,6873;;;;;;;;
8;3255,1;1637,3;0,6872;;;;;;;;
9;3255,6;1637,4;0,6873;;;;;;;;
10;3255,6;1637,3;0,6873;;;;;;;;
11;3256,1;1637,5;0,6874;0,68732;0,00007;0,55137;;;;;
12;3255,8;1637,4;0,6873;0,68732;0,00007;0,06988;;;;;
13;3255,1;1637,1;0,6873;0,68733;0,00007;-0,44128;;;;;
14;3255,6;1637,4;0,6873;0,68732;0,00007;-0,78944;;;;;
15;3255,9;1637,7;0,6872;0,68731;0,00007;-1,96865;Buy;3255,9;1637,7;;Buy
16;3256,1;1637,9;0,6871;0,68729;0,00007;-2,45119;Buy;3255,9;1637,7;-1,50;Buy
17;3256,8;1638;0,6873;0,68726;0,00008;0,10544;;3255,9;1637,7;-0,75;Buy
18;3257,3;1638,3;0,6872;0,68726;0,00008;-0,23583;;3255,9;1637,7;-2,50;Buy
19;3257,1;1638,1;0,6873;0,68726;0,00007;0,48224;;3255,9;1637,7;-1,00;Buy
20;3257,1;1638;0,6874;0,68727;0,00007;1,25031;Sell;3255,9;1637,7;0,00;Buy
21;3256,9;1638,1;0,6872;0,68727;0,00008;-0,41514;;3255,9;1637,7;-1,50;Buy
22;3256,8;1638,1;0,6872;0,68726;0,00007;-0,70802;;3255,9;1637,7;-1,75;Buy
23;3256,9;1638,1;0,6872;0,68725;0,00007;-0,12083;;3255,9;1637,7;-1,50;Buy
24;3256,3;1637,7;0,6873;0,68724;0,00007;0,85451;;3255,9;1637,7;1,00;Buy
25;3256,3;1637,7;0,6873;0,68724;0,00007;0,78306;;3255,9;1637,7;1,00;Buy
26;3256,1;1637,6;0,6873;0,68726;0,00007;0,62466;;3255,9;1637,7;1,50;Buy
27;3257,9;1638,5;0,6873;0,68728;0,00004;0,58930;;3255,9;1637,7;-3,01;Buy
28;3257,6;1638,4;0,6873;0,68728;0,00005;-0,17210;;3255,9;1637,7;-2,76;Buy
29;3257,9;1638,4;0,6874;0,68728;0,00004;1,85853;Sell;3255,9;1637,7;-2,01;Buy
30;3257,9;1638,6;0,6872;0,68729;0,00005;-0,93319;;3255,9;1637,7;-4,01;Buy
31;3257,8;1638,2;0,6875;0,68728;0,00005;3,94752;Sell;3255,9;1637,7;-0,26;Buy
32;3261,8;1640,3;0,6874;0,68730;0,00007;1,46741;Sell;;;-11,27;SL
33;3264,1;1641,2;0,6876;0,68732;0,00007;3,46704;Sell;1641,2;3264,1;;Sell
34;3262,8;1640,7;0,6875;0,68735;0,00010;1,18167;Sell;1641,2;3264,1;-1,75;Sell
35;3263,6;1641,2;0,6874;0,68736;0,00010;0,38074;;1641,2;3264,1;1,25;Sell
36;3263,9;1641,4;0,6874;0,68738;0,00010;-0,01778;;1641,2;3264,1;2,50;Sell
37;3265,1;1642,2;0,6873;0,68738;0,00010;-1,34895;Buy;1641,2;3264,1;7,50;Sell
38;3264,6;1641,9;0,6873;0,68738;0,00010;-0,93507;;1641,2;3264,1;5,75;Sell
39;3263,9;1641,4;0,6874;0,68738;0,00010;-0,05718;;1641,2;3264,1;2,50;Sell
40;3264,1;1641,4;0,6874;0,68738;0,00010;0,54734;;1641,2;3264,1;2,00;Sell
41;3263,8;1641,3;0,6874;0,68740;0,00009;0,04716;;1641,2;3264,1;1,75;Sell
42;3265,6;1642,5;0,6872;0,68739;0,00009;-1,99175;Buy;1641,2;3264,1;9,25;Sell
43;3263,9;1641,6;0,6873;0,68738;0,00010;-1,24180;Buy;1641,2;3264,1;4,50;Sell
44;3262,9;1641,1;0,6872;0,68735;0,00009;-1,12995;Buy;1641,2;3264,1;2,00;Sell
45;3262,6;1640,8;0,6873;0,68732;0,00008;0,19505;;1641,2;3264,1;-0,25;Sell
46;3262,4;1640,9;0,6872;0,68732;0,00008;-1,33679;Buy;1641,2;3264,1;1,24;Sell
47;3262,4;1640,8;0,6873;0,68730;0,00008;-0,30554;;1641,2;3264,1;0,24;Sell
48;3263,1;1641,1;0,6873;0,68731;0,00008;0,06693;;1641,2;3264,1;1,50;Sell
49;3262,9;1640,9;0,6874;0,68731;0,00008;0,82053;;1641,2;3264,1;0,00;Sell
50;3262,4;1640,7;0,6873;0,68731;0,00008;0,41510;;1641,2;3264,1;-0,76;Sell
51;3262,6;1640,8;0,6873;0,68730;0,00006;0,64874;;1641,2;3264,1;-0,25;Sell
52;3263,1;1640,9;0,6874;0,68729;0,00006;2,54255;Sell;1641,2;3264,1;-0,50;Sell
53;3262,6;1640,7;0,6874;0,68731;0,00006;1,35455;Sell;1641,2;3264,1;-1,25;Sell
54;3262,6;1640,7;0,6874;0,68733;0,00007;1,10008;Sell;1641,2;3264,1;-1,25;Sell
55;3262,6;1640,8;0,6873;0,68734;0,00006;-0,04987;;1641,2;3264,1;-0,25;Sell
56;3262,6;1640,7;0,6874;0,68734;0,00006;0,90867;;1641,2;3264,1;-1,25;Sell
57;3263,1;1640,9;0,6874;0,68736;0,00005;1,47860;Sell;1641,2;3264,1;-0,50;Sell
58;3263,8;1641,5;0,6873;0,68738;0,00004;-2,23796;Buy;1641,2;3264,1;3,75;Sell
59;3263,8;1641,1;0,6875;0,68737;0,00005;3,11926;Sell;1641,2;3264,1;-0,25;Sell
60;3262,9;1641,1;0,6872;0,68739;0,00007;-2,06439;Buy;1641,2;3264,1;2,00;Sell
61;3261,9;1640,5;0,6873;0,68738;0,00008;-0,89774;;1641,2;3264,1;-1,51;Sell
62;3261,9;1640,5;0,6873;0,68738;0,00008;-0,83362;;1641,2;3264,1;-1,51;Sell
63;3262,4;1640,8;0,6873;0,68737;0,00008;-1,04045;Buy;1641,2;3264,1;0,24;Sell
64;3262,6;1640,9;0,6873;0,68735;0,00009;-0,85682;;1641,2;3264,1;0,75;Sell
65;3262,6;1640,7;0,6874;0,68734;0,00009;0,69987;;1641,2;3264,1;-1,25;Sell
66;3261,6;1640,4;0,6873;0,68735;0,00009;-0,77849;;1641,2;3264,1;-1,76;Sell
67;3261,4;1640,4;0,6872;0,68733;0,00009;-1,32738;Buy;1641,2;3264,1;-1,26;Sell
68;3261,1;1640,1;0,6873;0,68731;0,00009;-0,06224;;1641,2;3264,1;-3,51;Sell
69;3260,9;1640,1;0,6872;0,68732;0,00009;-0,78826;;1641,2;3264,1;-3,01;Sell
70;3261,1;1640,1;0,6873;0,68729;0,00005;0,39521;;1641,2;3264,1;-3,51;Sell
71;3261,4;1640,3;0,6873;0,68729;0,00005;-0,32579;;1641,2;3264,1;-2,26;Sell
72;3261,6;1640,4;0,6873;0,68729;0,00005;-0,25451;;1641,2;3264,1;-1,76;Sell
73;3261,4;1640,4;0,6872;0,68729;0,00005;-1,46258;Buy;1641,2;3264,1;-1,26;Sell
74;3261,6;1640,4;0,6873;0,68728;0,00005;-0,05620;;1641,2;3264,1;-1,76;Sell
75;3262,3;1640,7;0,6873;0,68728;0,00005;0,54330;;1641,2;3264,1;-0,51;Sell
76;3263,1;1641;0,6874;0,68727;0,00003;2,89004;Sell;1641,2;3264,1;0,50;Sell
77;3262,1;1640,6;0,6873;0,68728;0,00005;0,60062;;1641,2;3264,1;-1,01;Sell
